try 221, z = -0.07493689416370919
try 109, z = -1.27565316751548
try 285, z = -0.5946236063628152
try 477, z = 2.0622259934481852
try 237, z = -0.1285396488547338
try 461, z = -0.012085657534593246
try 125, z = 0.36212103998655837
try 141, z = -0.31495575377834456
try 381, z = -0.004379428840476675
try 189, z = 0.11273821697371446
try 317, z = -1.370380007406917
try 493, z = 1.8028028632578328
try 397, z = 0.4709697336755589
try 173, z = -0.7643871936861789
try 14, z = -0.06886439988164567
try 78, z = -0.9500709151325095
try 46, z = -0.4523606713238008
try 446, z = -1.1756294435927659
try 366, z = -0.7745321840987397
try 158, z = -0.3933309073941293
try 510, z = -2.6667181030127463
try 350, z = 0.28365264596404366
try 334, z = 0.926322123089768
try 62, z = -0.11853374054773477
try 206, z = -0.38957710408418483
try 430, z = 2.0947802990356226
try 254, z = -0.30842201759073634
try 302, z = -1.978414535735599
try 30, z = -1.002130754911814
try 414, z = -0.20106345505545037
try 94, z = -0.7916231101871903
try 270, z = 0.9678845799069934
try 222, z = -0.685776924631888
try 238, z = -0.39465711130809733
try 110, z = -0.7928523267925894
try 286, z = -1.0913584786371455
try 142, z = -1.0437719314294749
try 478, z = 0.12508877111109543
try 462, z = -0.3735974551072669
try 126, z = -0.5154444445741958
try 382, z = 1.1559827635170035
try 190, z = 0.09799708275533506
try 398, z = -0.1589422381700137
try 318, z = -0.6139362009553786
try 174, z = -0.0233637688482427
try 494, z = -0.6259356022392192
try 480, z = -0.29265092774634166
try 304, z = 0.4818679602841717
try 240, z = 0.37063228479426763
try 80, z = -1.5528905452376935
try 400, z = 0.10726867362208427
try 96, z = 0.9061953736195927
try 288, z = 0.44752299642696164
try 496, z = 2.705731024186204
try 64, z = 0.09843280500755183
try 0, z = 1.1406301636412988
try 48, z = 0.08295180656266381
try 352, z = 0.4739831754012542
try 320, z = -0.5820764988792716
try 112, z = 0.18395997215414478
try 32, z = -1.806263730388081
try 416, z = -1.1019958957379596
try 432, z = -0.9655423826847628
try 448, z = -0.6427205304678105
try 176, z = -0.6999655726535641
try 272, z = -0.3412016014806161
try 192, z = 0.17282512676064113
try 384, z = -0.04640730150489608
try 208, z = -3.110814102679827
try 256, z = -0.09785982904379142
try 336, z = -1.7768990699599143
try 16, z = -1.465773299829071
try 464, z = -0.4025784862196889
try 224, z = -0.884359220106125
try 368, z = 0.5465249115405632
try 144, z = -0.2745094883641761
try 128, z = -0.5701813882858998
try 160, z = 1.158784548653336
try 401, z = -1.0507685919791543
try 97, z = -0.06211628732122263
try 33, z = 0.5230210471583404
try 81, z = -2.8133631578362106
try 113, z = -1.9127684392576016
try 1, z = -1.577202504754276
try 433, z = -1.664705763311692
try 321, z = -0.8469757495831534
try 385, z = -0.5867225270338692
try 449, z = -1.9268471531378815
try 305, z = -1.242097139073949
try 417, z = 0.4012276776185404
try 241, z = -1.4650595629041592
try 497, z = 1.7805890228134102
try 481, z = -0.27100902224964235
try 49, z = 1.0699139917150338
try 209, z = 0.6571405099525167
try 273, z = 1.8795140705225206
try 257, z = 0.32072801172219567
try 353, z = 0.19073535890927082
try 369, z = 0.8832590818471504
try 337, z = 0.2650593253349487
try 289, z = 1.1542035153341026
try 193, z = -0.8054005990321472
try 465, z = 0.12002439734573667
try 65, z = 0.5802436079213557
try 225, z = -0.6441336423095353
try 17, z = -0.5792684414627352
try 177, z = -1.2323112496659596
try 129, z = -0.5167949983614449
try 145, z = -0.4433531975980151
try 161, z = -1.5007951463864517
try 402, z = -1.003209319144375
try 98, z = -0.6000723942630347
try 322, z = -0.2823108370076729
try 34, z = 1.3774545754623428
try 114, z = -1.7458213312808517
try 482, z = 0.4696032784592128
try 450, z = -0.8757533285187449
try 386, z = -1.2625741395107666
try 82, z = -0.19056585730923167
try 498, z = 0.237681776984065
try 242, z = -0.0026147228080450075
try 370, z = -0.9152252007136765
try 258, z = -0.6437499855413594
try 338, z = 0.2314833903657915
try 466, z = -3.4121234880254083
try 2, z = 0.9378230240130131
try 434, z = -0.6839334326610578
try 66, z = -0.6916828848534041
try 418, z = 0.3846765512195099
try 194, z = 1.4436009503011502
try 226, z = -1.7765228131261546
try 210, z = 1.7040052184989352
try 274, z = -1.121406699722199
try 290, z = -0.06556507761181868
try 50, z = -0.05632726533124899
try 178, z = -0.014560258184681788
try 18, z = -0.12583051235703097
try 306, z = -0.3058977896532995
try 354, z = 0.7760314016599844
try 130, z = -0.9196519208199608
try 146, z = -2.6518188469087547
try 162, z = -2.302937279021477
try 403, z = -0.9175961460507098
try 99, z = 0.4837745438363446
try 35, z = -0.5949857474886948
try 83, z = 1.423332014494642
try 323, z = -1.030005372564926
try 3, z = 0.12645247339937069
try 115, z = -0.5391377723587443
try 419, z = -0.9123219144161828
try 195, z = 0.25827258786879903
try 227, z = 0.0882389344006518
try 467, z = 0.7371177942923534
try 483, z = -0.7667486534004038
try 387, z = -1.9959900952523826
try 179, z = -2.107846610962282
try 451, z = 0.18200863032145165
try 259, z = 0.12927055804024487
try 499, z = 2.9770387610069564
try 211, z = -2.845450992674103
try 371, z = -0.42146459019148863
try 291, z = -2.4994015711208077
try 67, z = -1.3273698449462397
try 243, z = 2.959825326718668
try 307, z = -0.18174415611675074
try 51, z = -0.38903646273062914
try 339, z = 0.9426645202577412
try 355, z = -0.6289177285863493
try 19, z = -0.6678286623021097
try 131, z = -0.02861765921113378
try 435, z = -0.8007745132181278
try 275, z = -0.27508881154106823
try 147, z = -1.361299189128663
try 163, z = -0.052593472101674005
try 404, z = -0.6262821834356405
try 100, z = 3.71769658371558
try 84, z = 0.7500280559674088
try 36, z = -0.13336627223436753
try 324, z = -0.8712301002423208
try 196, z = -0.6953532976510999
try 452, z = -2.6659592773239877
try 260, z = -0.004557169910427943
try 468, z = -1.3955389206933548
try 228, z = -2.590377387763862
